Data,SuspeitosSemColeta,SuspeitoscomColeta,Confirmados,Descartados,Óbitos
16/03,9,1,0
17/03,9,2,0
18/03,22,2,10
19/03,39,2,10
20/03,47,2,10
21/03,48,2,17
22/03,51,2,20
23/03,57,2,20
24/03,48,3,31
25/03,43,3,49
26/03,08,46,3,56
27/03,09,50,4,62
28/03,12,56,4,62
29/03,15,48,4,74
30/03,16,53,4,74
31/03,20,61,4,74
01/04,22,63,4,78
02/04,23,61,5,85
03/04,25,68,8,91
04/04,26,58,8,101
05/04,26,55,8,106
06/04,30,59,11,106
07/04,32,53,12,113
08/04,55,52,13,118
09/04,78,45,15,128
10/04,101,46,15,137
11/04,128,50,18,137
12/04,132,52,18,140
13/04,167,43,20,145
14/04,195,33,20,149
15/04,212,29,24,155
16/04,251,30,26,158
17/04,287,29,29,173
18/04,292,43,30,173
19/04,307,24,34,192
20/04,327,20,35,197
21/04,340,28,35,197
22/04,313,33,37,234
23/04,313,39,38,241
24/04,380,41,39,241
25/04,386,50,39,270
26/04,433,60,39,281
27/04,475,51,40,293
28/04,492,49,41,320
29/04,516,53,43,321
30/04,557,60,46,327,1
01/05,604,66,50,329,1
02/05,653,65,54,339,1
03/05,696,64,56,349,1
04/05,779,0,58,352,1
05/05,722,36,58,399,1
06/05,733,35,62,401,1
07/05,774,62,63,410,1
08/05,813,60,66,422,1
09/05,813,67,70,430,1
10/05,830,73,71,434,2
11/05,830,76,79,436,2
12/05,832,78,83,457,2
13/05,808,78,91,475,2
14/05,801,61,93,502,2
15/05,816,50,96,511,2
16/05,820,56,103,514,2
17/05,832,63,106,514,2
18/05,841,60,112,547,2



