Data,SuspeitosSemColeta,SuspeitoscomColeta,Confirmados,Descartados,Óbitos
16/03,0,9,1,0,0
17/03,0,9,2,10,0
18/03,0,22,2,10,0
19/03,0,39,2,10,0
20/03,0,47,2,10,0
21/03,0,48,2,17,0
22/03,0,51,2,20,0
23/03,0,57,2,20,0
24/03,0,48,3,31,0
25/03,0,43,3,49,0
26/03,08,46,3,56,0
27/03,09,50,4,62,0
28/03,12,56,4,62,0
29/03,15,48,4,74,0
30/03,16,53,4,74,0
31/03,20,61,4,74,0
01/04,22,63,4,78,0
02/04,23,61,5,85,0
03/04,25,68,8,91,0
04/04,26,58,8,101,0
05/04,26,55,8,106,0
06/04,30,59,11,106,0
07/04,32,53,12,113,0
08/04,55,52,13,118,0
09/04,78,45,15,128,0
10/04,101,46,15,137,0
11/04,128,50,18,137,0
12/04,132,52,18,140,0
13/04,167,43,20,145,0
14/04,195,33,20,149,0
15/04,212,29,24,155,0
16/04,251,30,26,158,0
17/04,287,29,29,173,0
18/04,292,43,30,173,0
19/04,307,24,34,192,0
20/04,327,20,35,197,0
21/04,340,28,35,197,0
22/04,313,33,37,234,0
23/04,313,39,38,241,0
24/04,380,41,39,241,0
25/04,386,50,39,270,0
26/04,433,60,39,281,0
27/04,475,51,40,293,0
28/04,492,49,41,320,0
29/04,516,53,43,321,0
30/04,557,60,46,327,1
01/05,604,66,50,329,1
02/05,653,65,54,339,1
03/05,696,64,56,349,1
04/05,779,0,58,352,1
05/05,722,36,58,399,1
06/05,733,35,62,401,1
07/05,774,62,63,410,1
08/05,813,60,66,422,1
09/05,813,67,70,430,1
10/05,830,73,71,434,2
11/05,830,76,79,436,2
12/05,832,78,83,457,2
13/05,808,78,91,475,2
14/05,801,61,93,502,2
15/05,816,50,96,511,2
16/05,820,56,103,514,2
17/05,832,63,106,514,2
18/05,841,60,112,547,2
19/05,845,59,116,559,2
20/05,848,55,122,564,2
21/05,848,50,129,573,2
23/05,852,51,146,577,3
24/05,854,68,149,577,3
25/05,857,59,154,590,3
26/05,859,51,165,605,3
27/05,859,54,177,613,3
28/05,861,53,195,623,4
29/05,861,50,203,633,5
30/05,863,47,217,645,5
31/05,865,55,218,645,5
01/06,865,53,232,702,5
02/06,867,48,251,715,5
03/06,867,58,259,723,5
04/06,868,57,275,734,5
05/06,870,59,305,751,5
06/06,870,72,317,763,5
07/06,870,79,321,763,5
08/06,872,55,336,792,5
09/06,873,43,360,825,5
10/06,876,62,377,827,5
11/06,877,51,396,839,6
12/06,879,56,423,957,7
